hash,satcomp-mallob,satcomp-prs-distributed,satcomp-solimul-cloud,aresult
21667cf04beae213adbab0d48408a7e4,29.817,23.103,176.697,unsat
21bde0ebb111c637a1ae8789827b0b73,1.409,2000.0,2.947,unsat
220bb8aa093e502c47afcdac3140d67c,1.367,1.914,3.256,sat
22d0a2fdc65d884c2bbde56af9feba4a,764.452,314.355,795.884,unsat
23c4e178c94c0dff82ea6c87abed7ecc,2000.0,2000.0,2000.0,unknown
246afd75cb97a21144f368c00252a656,1.295,1.136,2.551,unsat
24b93d0bf941e4b050c9109e4cb7faf4,1.196,1.656,2.359,sat
24bf910d2b9da558fb3e71a4dbe79ba3,1.294,1.735,2.665,sat
2537f10a45d7ab430334dc1de6bfbdf0,14.615,14.747,27.726,sat
25b7a69d04a5029cf4ba2f483b5bec45,21.818,3.748,10.568,sat
26114429758a203d651f4df87c94de4c,4.606,5.26,6.543,unsat
262009b8df6350761c7dfc8761f0af79,230.45,461.425,112.786,unsat
2722f39c27dc45a989bb52761ed52e50,526.712,2000.0,2000.0,sat
275d36e3f246990dccd094e5e1442ba9,354.674,2000.0,279.822,unsat
27b4fe4cb0b4e2fd8327209ca5ff352c,2000.0,1.644,3.047,unsat
28857e681fc6a9077d5a7d0e9c7a19ad,62.471,43.909,63.579,unsat
28e45a3e488ddac73b6116cc6f3e67e0,6.401,56.099,28.291,unsat
28f29fe949422ec88892e18073de065c,2.832,4.194,2000.0,unsat
2902c241b2196f5fd914509fdc124ba7,2000.0,2000.0,2000.0,unknown
291c2b4fa2d8b009cd2a8331891ba667,10.305,22.106,29.414,sat
29505dfcf090c4cfdfb59268160be81d,87.052,95.45,162.596,unsat
29bab0de14e56e526be9683131005cb2,1.701,3.761,3.352,sat
29e101b66dfddb440e974b9feec5b1aa,13.172,15.144,12.488,unsat
2a144840047376cee3b7b99455158976,5.509,8.467,7.57,unsat
2a4680a801ad32ab8768030250daf0c8,2000.0,2000.0,2000.0,unknown
2b3de92685792ae19e4549b5c4571e27,16.797,84.185,2000.0,unsat
2b7e863462991fd008f9898eca63ebf4,7.482,17.343,32.703,sat
2c9dc96b7a8b0410e64dd33f7e00a0c1,888.541,724.543,2000.0,sat
2d0c041c0fe72dc32527bfbf34f63e61,1.322,2.15,2.367,sat
2e808d215e4155379a847b146ef38b34,103.953,218.971,151.638,unsat
2ef023ae6c46e4415734f9349a36d678,15.711,30.729,20.379,unsat
2f219dfa21d996e1834aa247f934f304,34.688,91.517,117.537,unsat
303ba61141150f84b0d8b44839df59fd,2000.0,230.699,2000.0,unsat
30e680ded3b9be6be0b5baac273f2646,37.703,18.645,27.387,unsat
323223c497a22051f5a3ef508ccbaa7c,10.387,17.34,29.403,sat
328da7966b09b2f6e99c93c4e877fbff,5.671,2000.0,2.751,sat
339b1cfda231aaca601cd6339c07ca2c,2000.0,406.784,2000.0,sat
33bcf82677b7fdacf18dd48892596a1d,24.251,24.727,659.568,sat
33cfa309d10e1d4fe30f1302807f42ce,9.015,15.55,38.654,sat
3498eea73b78ddc444cbee48b121c541,110.582,2000.0,319.531,unsat
34e5fd58b65bf305cc773f0dbfb47917,598.944,367.016,286.597,unsat
358fa8d20aa467c7e9b9bf34f73d1dc9,3.917,9.612,9.443,sat
35b19a3332597c1e5a3668f75ca72971,12.207,17.134,36.599,sat
361290e60ab2a8ea9dccfcff65bf0778,18.627,21.978,418.718,unsat
3663000b31a5c80922afc6e48322accb,2.076,2.24,3.549,unsat
36c342091848d5d6a1a8eeb3a8b49b86,1.164,1.66,2.635,sat
3728fe50d8038c639c2d9c84e04fe2b1,2.489,3.336,3.368,sat
37d40a1092b58ad28285b9453872d211,2000.0,443.523,2.578,unsat
385a678ba820d79c6fb5f497adaf32ec,57.556,211.075,125.53,unsat
385e2c7010a419a9bd47b9258c9d2903,1.288,2.134,2.931,unsat
38833d6a1ff6a56ef22bd2dc1e3fdde7,7.121,10.334,5.742,sat
38ca761a5808eace8bc8f1fcfdb5b5a8,686.67,2000.0,578.626,unsat
396245861b331d45e1345bd43fe352e2,6.798,3.439,13.377,sat
3a7a64e1d6cf5ce969b2b05b5464f707,10.046,21.999,15.483,sat
