hash,AMSAT_,BreakID-kissat-low.sh,CaDiCaL_vivinst,Cadical_ESA,Cadical_rel_1.5.3.Scavel,Cadical_rel_Scavel,IsaSAT,Kissat_Inc_ESA,Kissat_MAB_Binary,Kissat_MAB_Conflict,Kissat_MAB_Conflict+,Kissat_MAB_DeepWalk+,Kissat_MAB_ESA,Kissat_MAB_Rephases,Kissat_MAB_prop,Kissat_MAB_prop-no_sym,Kissat_MAB_prop_pr-no_sym,MapleCaDiCaL_LBD-990_275,MapleCaDiCaL_LBD-990_500,MapleCaDiCaL_PPD-500_500,MapleCaDiCaL_PPD-950_950,MergeSat-bve_gates,MergeSat-bve_semgates,MergeSat-thread1,MiniSat+XorEngine,PReLearn-kissat-PReLearn-kissat.sh,PReLearn-kissat-PReLearn-tern-kissat.sh,ReEncode-kissat-ReEncode-pair-kissat.sh,SBVA-sbva_cadical,SBVA-sbva_kissat,SeqFROST,SeqFROST-ERE-All,SeqFROST-NoExtend,hKis-psids,hKis-sat_psids,hKis-unsat,hKissatInc-unsat,kissat-3.1.0,kissat-hywalk-exp,kissat-hywalk-exp-gb,kissat-hywalk-gb,kissat-pre-sc23,kissat_incsp,tabularasat-1.0.0
1d42a7c3616ce163e292340cfcd34f97,10000.0,10000.0,4877.9,10000.0,10000.0,10000.0,10000.0,10000.0,2764.1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1ea7fe95e6158afe11f7b795b9aac939,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
1f215812371f0c428eb1f1e51f9f23d7,10000.0,10000.0,10000.0,10000.0,4902.01,4888.98,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,877.603,10000.0,10000.0
1f6cf91464c6a19022144774b162a3cc,920.683,368.488,654.153,671.64,681.5,667.265,10000.0,1686.7,1618.74,1350.15,1438.77,1328.99,1653.06,1382.4,1381.94,1410.21,1416.66,656.44,698.517,555.042,734.468,1773.8,1629.83,1779.74,10000.0,510.336,706.511,382.29,957.48,459.225,1316.58,1339.57,1321.6,1446.14,1855.08,1557.57,1178.07,848.901,1361.73,1539.87,1394.64,1474.09,1577.13,367.647
20be6aa61af15fd53b4c48eb3f2f3319,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,383.496,10000.0,10000.0
20cae5fe475d571da703f89d5da4bb8f,204.922,153.363,152.203,113.049,147.635,140.654,2556.51,91.6766,155.217,166.508,134.851,85.4451,189.593,135.883,149.152,154.93,153.06,114.939,128.854,170.264,118.281,638.272,422.935,803.457,10000.0,272.564,449.534,206.369,152.737,164.777,162.45,141.213,139.457,90.8379,94.1865,72.5916,91.1652,131.6,148.699,121.944,93.8997,125.941,79.6184,203.15
21667cf04beae213adbab0d48408a7e4,1008.88,1090.96,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1029.33,1217.43,1174.89,1249.5,2308.91,1620.19,4101.51,10000.0,10000.0,10000.0,10000.0,1059.55,10000.0,820.696,825.345,823.197,10000.0,10000.0,10000.0,10000.0,1715.72,10000.0,10000.0,10000.0,10000.0,10000.0,3383.18
21bde0ebb111c637a1ae8789827b0b73,10000.0,186.511,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.104877,0.105079,0.10533,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,31.8403,299.497,4.83744,10.9754,22.4246,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
22d0a2fdc65d884c2bbde56af9feba4a,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.143487,0.150514,0.144,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
23c4e178c94c0dff82ea6c87abed7ecc,10000.0,338.477,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
246afd75cb97a21144f368c00252a656,2545.99,0.049523,3242.03,3244.96,4597.63,4553.56,1202.01,224.111,3412.64,2874.77,2780.36,2703.47,204.091,2718.38,0.095324,0.094561,0.09546,3898.49,3819.78,3934.78,3887.24,10000.0,10000.0,10000.0,10000.0,5.647,299.73,0.557234,0.878738,1.27289,3636.06,3976.98,3629.19,2329.49,3371.17,3249.64,1818.59,10000.0,2763.78,2899.0,2729.58,0.01029,2950.04,2209.27
2537f10a45d7ab430334dc1de6bfbdf0,84.7203,92.6617,217.873,223.235,293.963,289.534,10000.0,725.498,132.737,215.9,160.158,109.522,66.318,163.318,132.861,104.806,105.4,1571.7,283.755,350.125,122.737,912.277,189.135,278.282,4152.24,1008.61,339.127,50.5346,250.099,308.581,230.225,145.625,378.64,10000.0,10000.0,236.472,10000.0,158.598,145.683,118.026,223.502,134.238,71.6695,54.2581
25b7a69d04a5029cf4ba2f483b5bec45,463.508,196.754,204.43,204.711,221.151,224.058,10000.0,1307.32,494.27,851.588,256.219,1053.27,312.73,854.249,10000.0,10000.0,10000.0,221.754,463.782,370.618,363.721,725.56,483.408,576.269,10000.0,760.697,2822.84,2685.53,343.109,2831.72,357.011,352.33,353.876,10000.0,10000.0,10000.0,10000.0,363.302,10000.0,1568.09,441.745,1299.09,259.932,4165.07
262009b8df6350761c7dfc8761f0af79,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.149464,0.144622,0.142459,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2722f39c27dc45a989bb52761ed52e50,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,435.329,10000.0,10000.0
275d36e3f246990dccd094e5e1442ba9,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
28857e681fc6a9077d5a7d0e9c7a19ad,154.132,620.08,252.649,252.811,260.362,259.918,367.853,371.689,238.608,239.992,239.531,339.999,238.253,240.561,88.9949,89.2155,90.3384,299.112,297.023,385.168,251.312,118.568,334.133,751.89,10000.0,501.713,497.962,1141.44,469.06,817.535,87.5684,87.2986,104.987,215.786,157.656,221.6,519.977,317.274,249.185,254.45,256.974,85.3439,356.562,134.41
2902c241b2196f5fd914509fdc124ba7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3463.49,10000.0,10000.0,3471.7,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
291c2b4fa2d8b009cd2a8331891ba667,53.1151,43.2856,41.1048,48.3498,42.6854,42.6791,1736.31,43.6313,91.1547,43.8945,59.0376,45.5589,78.4284,90.3987,85.1858,54.8309,54.7535,34.3277,97.9411,103.756,93.2534,71.7629,68.7887,127.269,414.355,66.2532,65.992,85.3667,110.7,148.758,109.26,141.886,107.653,130.338,429.676,84.3901,90.1508,48.7261,56.6817,37.7713,37.527,74.1188,86.6648,44.4279
29505dfcf090c4cfdfb59268160be81d,439.934,1985.85,596.979,595.766,598.059,595.825,1581.41,1003.7,856.976,850.798,978.313,877.487,858.425,982.219,210.74,210.03,211.277,538.64,620.215,606.669,568.195,320.643,1013.92,1604.78,10000.0,1241.03,1207.77,2371.17,877.225,1338.86,1133.85,1145.34,1238.19,715.879,551.67,843.343,918.547,1204.61,1069.29,724.741,710.333,499.745,924.832,347.139
29bab0de14e56e526be9683131005cb2,22.8335,344.047,956.151,978.996,1383.13,1395.16,1795.24,264.7,648.663,296.92,866.306,67.028,645.502,67.465,1012.48,1013.15,242.836,67.4853,1454.28,336.842,88.9649,131.232,392.354,863.81,2354.64,267.138,466.561,60.1901,335.188,235.816,140.903,140.641,140.842,1622.47,252.275,150.364,224.181,230.852,850.116,183.624,237.403,291.094,245.37,7.9704
2a4680a801ad32ab8768030250daf0c8,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0
2b7e863462991fd008f9898eca63ebf4,124.72,1359.51,176.227,217.514,875.452,886.962,10000.0,84.97,66.8291,86.5931,169.395,165.289,280.314,175.904,76.911,47.0682,47.2513,310.283,934.312,124.705,270.036,266.686,173.438,498.604,1519.5,194.366,375.527,98.7059,156.261,41.7974,191.283,110.383,377.175,10000.0,10000.0,43.248,10000.0,78.2796,59.7807,172.46,88.0605,29.2457,714.389,330.466
2c9dc96b7a8b0410e64dd33f7e00a0c1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,1395.33,10000.0,10000.0
2e808d215e4155379a847b146ef38b34,3169.21,4555.59,3984.2,4057.85,4091.05,4101.38,10000.0,3349.51,3209.42,2781.95,3135.09,3249.94,3361.19,3244.24,3037.34,3014.5,3145.38,10000.0,10000.0,4797.89,4791.31,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3962.88,10000.0,3175.96,2936.81,3056.47,2896.69,3480.1,2634.94,2057.59,2353.79,3252.45,3025.87,3019.81,3053.67,2783.14,10000.0
2f219dfa21d996e1834aa247f934f304,2388.31,523.22,412.965,592.293,698.092,653.794,10000.0,620.356,571.398,663.263,527.995,375.048,592.849,533.425,975.369,997.728,949.79,559.254,662.73,584.237,735.39,10000.0,3570.89,10000.0,10000.0,1117.61,1286.08,972.196,635.061,907.707,1093.78,1076.68,1037.02,516.262,501.209,301.569,348.07,694.548,812.612,529.686,675.915,685.793,356.194,1467.59
