hash,AMSAT_,BreakID-kissat-low.sh,CaDiCaL_vivinst,Cadical_ESA,Cadical_rel_1.5.3.Scavel,IsaSAT,Kissat_Inc_ESA,Kissat_MAB_Binary,Kissat_MAB_Conflict,Kissat_MAB_Conflict+,Kissat_MAB_DeepWalk+,Kissat_MAB_ESA,Kissat_MAB_Rephases,Kissat_MAB_prop,Kissat_MAB_prop-no_sym,Kissat_MAB_prop_pr-no_sym,MapleCaDiCaL_LBD-990_275,MapleCaDiCaL_LBD-990_500,MapleCaDiCaL_PPD-500_500,MapleCaDiCaL_PPD-950_950,MergeSat-bve_gates,MergeSat-bve_semgates,MergeSat-thread1,MiniSat+XorEngine,PReLearn-kissat-PReLearn-kissat.sh,PReLearn-kissat-PReLearn-tern-kissat.sh,ReEncode-kissat-ReEncode-pair-kissat.sh,SBVA-sbva_cadical,SBVA-sbva_kissat,SeqFROST,SeqFROST-ERE-All,SeqFROST-NoExtend,hKis-psids,hKis-sat_psids,hKis-unsat,hKissatInc-unsat,kissat-3.1.0,kissat-hywalk-exp,kissat-hywalk-exp-gb,kissat-hywalk-gb,kissat_incsp,tabularasat-1.0.0,vresult
f959755d7c68ea8b64d900e589fbe21f,117.627,86.1021,119.594,35.0829,38.2858,2663.62,34.6077,107.405,102.94,48.7819,30.1878,36.7441,29.7358,58.3426,62.0485,61.4208,180.258,110.804,110.381,112.178,127.814,123.239,535.437,10000.0,160.504,361.142,147.831,49.9078,98.3638,182.993,100.249,46.7445,10000.0,282.384,58.1639,4950.34,26.7071,66.7788,75.0437,62.5677,19.8476,38.8776,sat
fab0db1ab0dd5baa3215aab51ab69355,565.327,21.6323,72.0907,25.0715,73.1187,0.250698,10000.0,4.03389,3.93159,182.004,4.99249,4.17311,179.631,1.85894,0.529041,0.509086,35.4614,38.2816,128.917,4.84047,10000.0,170.804,1663.46,10000.0,126.654,328.156,13.6282,26.9481,9.89491,1.99731,1.99893,1.99807,10000.0,0.156716,19.1893,989.387,21.5723,5.58772,3.59573,3.39305,1563.6,9.79993,sat
faeb113864d97ea4cb3f01f95d2fe92f,0.74971,124.311,90.028,91.0823,0.462254,10000.0,10000.0,10000.0,3787.0,10000.0,701.447,10000.0,709.609,10000.0,10000.0,10000.0,72.287,48.8092,173.35,171.326,74.8882,72.6567,74.9418,10000.0,163.562,364.542,81.456,86.4472,152.857,1086.65,1113.61,1108.59,10000.0,10000.0,10000.0,10000.0,183.117,10000.0,10000.0,10000.0,10000.0,205.347,sat
fb5d0254bc4b8d258eb84ea1dbcdda13,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,3917.51,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat
fd1fbc1b090c14746a883b3a17259743,10.921,22.0367,11.6111,11.5636,12.3529,7.60197,9.01214,8.01936,7.68732,7.46662,9.6185,7.84052,7.75833,18.1686,7.86188,15.6063,24.3689,15.778,14.9409,13.7655,11.1814,11.7442,9.72143,27.7276,123.574,324.937,31.731,36.3893,45.2818,7.18896,7.21269,9.24312,6.56553,8.4922,6.60244,6.19486,18.4477,7.45731,7.2209,7.44645,8.00918,24.8099,unsat
fd2af7622798171f23a4b8d2616df55e,10000.0,0.897342,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.097324,0.0974,0.096257,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,12.5716,297.961,290.211,50.7185,252.259,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat
fdc5aa7c150fd1c49ad3b50433277528,10000.0,10000.0,10000.0,2920.19,1765.89,10000.0,10000.0,10000.0,3682.51,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2091.43,10000.0,10000.0,10000.0,3993.17,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,sat
fdfcd52a21824b7181d66672f283ba04,2.30677,5.5765,2.76417,2.72653,2.83009,1.81501,1.9113,2.10679,1.63807,6.32463,1.4258,1.81142,6.36918,3.80894,1.99469,101.97,11.6191,2.15693,2.82112,2.64771,1.03591,5.37683,2.21583,0.971891,101.017,302.309,2.43954,8.3542,1.87757,2.59927,2.57456,3.1865,1.19432,0.695021,2.9083,2.57532,2.9112,1.56621,1.67385,1.32412,1.72927,2.58503,sat
fe19a31b76cbba5901e16ce36c7578ed,0.015904,0.583582,0.00927,0.007861,31.4002,0.007542,0.006003,0.005485,0.006192,0.006269,0.006291,0.005533,0.006335,0.569278,0.235893,0.231471,0.008698,0.008262,0.008288,0.008265,0.03101,0.020104,0.019354,0.104347,3.53808,3.75519,0.114081,0.519935,0.518941,0.030178,0.029657,0.029601,0.006026,0.006456,0.025493,0.005943,0.005575,0.007337,0.006174,0.006658,0.006367,0.011191,unsat
fe8b1ef742724947620a419d0180a640,10000.0,473.117,366.283,556.164,404.701,330.48,303.234,758.483,299.073,725.474,616.656,483.235,622.143,176.093,146.498,197.283,247.212,414.603,445.275,345.225,2699.39,10000.0,1586.71,10000.0,149.25,453.72,635.526,377.336,1105.19,134.184,133.247,134.597,385.163,794.317,254.617,149.768,808.836,409.905,452.401,449.248,377.815,1100.6,unsat
fee70cede2b5b55bfbdb6e48fbe7ce4f,264.62,208.792,230.373,87.8732,224.88,568.715,414.835,230.407,50.9645,158.196,207.473,309.254,157.507,384.189,390.398,397.772,329.603,55.4933,111.197,243.833,921.742,896.858,660.166,2146.29,230.572,922.709,172.149,78.1397,394.543,103.797,207.168,232.292,826.563,468.964,215.562,117.933,245.354,219.3,403.65,423.964,182.453,514.748,sat
ff5170c690129f8c94658e82b6aab05c,10000.0,0.601461,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,0.010233,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unsat
ff867fd35aa52058382a8b0c21cd1f38,10000.0,10000.0,891.237,1013.94,2212.94,2511.23,1573.42,10000.0,3680.55,3849.23,4377.71,1887.22,4365.95,309.723,279.949,373.487,781.306,1211.99,1737.71,538.22,10000.0,10000.0,10000.0,10000.0,445.243,1622.12,10000.0,2070.14,4006.22,796.494,800.25,1089.85,1296.12,10000.0,3635.13,1176.67,4001.51,2518.08,2242.1,4932.48,3786.23,4934.87,unsat
