hash,dps-satcomp2023,gimsatul,mallob23-parallel-1,mallob23-parallel-2,nps-satcomp2023,pahkis23,pakisinc23,satcomp-mergesat,satcomp-nopre-prs,satcomp-pkisds,satcomp-pkisds-step,satcomp-pkissat,satcomp-pkissat-str,satcomp-prs,satcomp-solimul-parallel,aresult
578f9377bfbfcc6ea3a18eb630667956,0.119,0.076,0.566,0.677,0.077,1.038,1.038,2.02,0.188,1.069,1.067,1.071,1.079,0.23,0.951,sat
57c305967b30c503da1737258e6cc7e5,102.813,106.815,145.883,171.619,91.07,244.105,171.1,505.988,114.912,169.455,154.453,120.432,111.413,115.918,122.733,unsat
587150fb7b12a6b5dd7e4a9446b9713b,0.049,0.067,0.569,0.585,0.051,1.037,1.041,0.52,0.16,1.044,1.044,1.047,1.049,0.212,0.645,sat
5918f1624d4dfd964227356786a4e9ec,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
5a72cb588bcda7b1b54a1eac6b19ab2e,578.743,607.233,598.503,296.649,284.469,242.189,248.274,10000.0,517.778,127.973,132.96,119.66,126.177,93.697,614.27,unsat
5b3d8a4465726adfcb58b9cdb1cc33f1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
5dc5185101e1d439d14f0a04acfa9bfb,10000.0,10000.0,10000.0,2992.254,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,230.459,10000.0,sat
5f6861053fb4ed4fc0b997cd6b505ef4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
62c763bdf8d351b15df3a4d62a03eba0,2.114,6.497,5.164,20.39,2.544,6.558,1.629,1046.845,3.642,10.821,17.821,18.086,16.958,20.824,15.466,sat
63159b6b10c3d6832bd5944e05d78b11,32.09,10.825,42.6,22.293,6.756,2054.201,10000.0,36.075,344.808,1.074,1.073,1.075,1.095,291.8,0.754,sat
644fd765d26bd4a380922ccd0f594c58,178.799,1052.473,209.024,113.161,138.355,200.053,251.064,2143.692,158.318,143.065,102.059,214.077,183.08,0.067,429.92,unsat
6549f23728c52d5319f30371ff709622,877.384,795.466,1649.138,492.687,475.912,290.051,279.376,10000.0,10000.0,118.878,124.99,102.801,101.058,122.239,765.968,unsat
65b1e2253626af4a72b954f8186a5880,114.089,165.08,38.318,49.961,65.628,52.799,39.804,10000.0,95.655,37.731,36.944,33.91,33.124,26.858,89.32,unsat
670a24d73dbadd3073e9604c6ef903d1,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
67904554c73addf89fe675bd8e494641,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
67a5b7ccde980b37576b993c79e176b0,590.534,489.392,539.973,256.617,292.95,194.528,236.771,10000.0,458.37,117.995,120.195,106.361,113.306,81.528,522.028,unsat
685d37e93ba26197925353e58026ae10,155.751,182.916,145.883,52.741,76.395,60.217,70.081,10000.0,128.552,43.766,44.706,40.311,42.558,35.302,120.037,unsat
68649ac2830edad5d0dc7e3d13935132,29.462,8.031,40.901,29.39,43.916,3746.318,10000.0,33.422,45.565,1.075,1.075,1.075,1.099,1792.821,1.25,sat
6aacae96461cb65176942b6dc88ea470,467.721,10000.0,1050.148,1449.794,498.568,983.111,784.111,10000.0,702.096,759.14,838.146,798.15,877.188,0.071,10000.0,unsat
6b2ccabf0304af478a558b8a333ced32,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,unknown
6bb485770dbc3943ea84933a03131958,10000.0,549.131,439.704,330.222,10000.0,10000.0,10000.0,2147.175,194.033,355.034,329.953,94.965,98.991,184.18,318.765,unsat
6d67f76f114db9801952ed155e745e16,10000.0,10000.0,10000.0,311.76,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,2857.421,199.066,10000.0,sat
6dca14e1af1795565d1e502ddc7d376b,222.223,213.948,241.053,79.074,117.352,77.701,77.688,10000.0,187.264,63.535,58.74,53.986,55.58,51.104,189.687,unsat
6e31e88a5dadaa3876eb5ff4293134c2,518.236,535.253,599.693,225.209,261.057,201.791,166.849,10000.0,373.024,111.537,116.716,106.01,100.678,77.288,462.768,unsat
